2437 A, A
2800 CUMMING, RJ
10686 CUNHA, M
9979 CUNHA, MS
11188 CUNNINGHAM, CR
15341 CUNNINGHAM, SJ
5952 CUNTZ, M
7842 CUOCO, E
7843 CURCI, G
14601 CURRAN, G
15158 CURRIE, D
3386 CURRIE, DG
8156 CURRIE, MJ
1516 CURRY, C
14192 CURRY, CL
9410 CUSTODIO, PS
5500 CUSUMANO, G
12598 CUTISPOTO, G
3064 CUTLER, C
13358 CUTRI, R
9310 CUTRI, RM
13151 CUYPERS, J
14513 CZAJKOWSKI, S
13545 CZERNY, AROZNB
1189 CZERNY, B
14383 CZOSKE, O
1095 DABROWSKI, MP
6196 DABROWSKI, Y
9188 DACRI, F
14751 DADDI, E
3948 DADHICH, N
10297 DADINA, M
2865 DAGOSTINI, G
8472 DAHARI, DB
8502 DAHLE, H
4457 DAHLEM, M
11347 DAHLEN, T
8336 DAHMEN, G
13529 DAHN, C
9469 DAHN, CC
8106 DAI, CJ
9038 DAIGNE, F
4544 DAI, H
10323 DAI, HY
14187 DAISAKA, H
12417 DAI, Y
2341 DAI, ZG
12718 DAKSH, L
11163 DALAL, N
783 DALCANTON, JJ
13730 DALE, D
6369 DALE, DA
7299 DALESSANDRO, A
10301 DALESSIO, P
12266 DALFIUME, D
5949 DALGARNO, A
8012 DALHED, HE
1028 DALLACASA, D
3091 DALLOGLIO, G
11695 DALLOGLIO, HBG
8179 DALL, TH
13665 DALTON, EGGB
280 DALTON, G
1244 DALTON, GB
1515 DALY, EJGRA
1785 DALY, GFWRA
1659 DALY, LWRA
2672 DALY, RA
15457 DAMBIER, G
5214 DAME, JPFSLSTM
5364 DAME, TM
13843 DAM, HV
5957 DAMICO, N
11339 DAMINELI, A
2770 DAMOUR, T
13070 DANCHI, JDMWC
5676 DANCHI, WC
9415 DANDO, O
15817 DANDREA, M
103 DANESE, L
15926 DANFORTH, CW
15184 DANIEL, A
16029 DANIELSSON, U
4218 DANIELSSON, UH
9305 DANKS, A
6026 DANKS, AC
5353 DANLY, L
2664 DANNER, R
14172 DANN, J
9476 DANOS, R
13728 DANSE, L
6143 DANTAS, CC
1762 DANTELFORT, M
14699 DANTONA, F
16300 DANTONIO, S
3028 DANZIGER, IJ
113 DANZIGER, J
1191 DANZIGER, JI
11453 DAPPEN, W
182 DAR, A
2703 DARBON, S
9676 DAR, G
15421 DARLING, J
8473 DASGUPTA, A
15336 DASHEVSKY, I
13941 DAS, M
13100 DAS, R
8240 DAS, S
13018 DASTIDAR, TKR
10677 DAS, TK
8614 DATTA, B
1373 DATTANASIO, M
13047 DATTA, S
7318 DAUM, A
12198 DAURIA, R
13541 DAUTCOURT, G
1345 DAVE, R
233 DAVIDGE, TJ
8923 DAVID, L
8734 DAVID, LP
3957 DAVIDOVSKY, V
4348 DAVIDSEN, A
3138 DAVIDSEN, AF
8206 DAVIDSON, A
2980 DAVIDSON, K
3860 DAVIDSON, S
8774 DAVIES, A
4311 DAVIES, G
14584 DAVIES, J
10772 DAVIES, JE
4099 DAVIES, JI
8645 DAVIES, JK
16504 DAVIES, M
1686 DAVIES, MB
14356 DAVIES, R
5748 DAVIES, RD
10543 DAVIES, RI
3267 DAVIES, RL
97 DAVIS, A
1609 DAVIS, AC
8725 DAVIS, CJ
15735 DAVIS, D
3427 DAVIS, DS
61 DAVIS, M
15237 DAVIS, R
2102 DAVIS, RJ
5845 DAVIS, SC
7294 DAVOUDIASL, H
14327 DAVOUDI, J
1581 DAVOUST, E
1851 DAW, E
9052 DAWSON, BR
10883 DAWSON, JM
16093 DAWSON, S
12091 DAYAL, A
6956 DAZELEY, SA
1882 D, C
14774 DCOSTA, SL
2516 DCRUZ, NL
10441 D, D
10747 D, E
15842 DEADY, JH
5493 DEAL, KJ
8929 DEAN, AJ
5843 DEAN, DJ
2979 DEARBORN, DSP
8489 DEATON, J
3115 DEBATTISTA, VP
6519 DEBIAIS, G
13824 DECARVALHO, RR
8935 DECIN, L
5228 DECKERS, T
11824 DECOURCHELLE, A
6433 DEDENKO, LG
15700 DEDIKOV, SY
15684 DEEG, HJ
10556 DEEG, TNHJ
7115 DEELEY, K
12955 DEELEY, KE
9090 DE, ENS
12578 DEETER, JE
14651 DEETJEN, JL
13494 DEFFAYET, C
15365 DEFOREST, CE
15208 DEGASPERIS, G
16057 DEGIOIAEASTWOOD, K
9091 DEGLI, IWA
1772 DEGLINNOCENTI, S
10510 DEGLI, U
15316 DEGOOD, J
6520 DEGRANGE, B
8604 DEGUCHI, S
8945 DEHARVENG, J
5013 DEHARVENG, JM
12345 DEHARVENG, L
1230 DEHNEN, H
2913 DEHNEN, W
797 DEHNER, BT
14461 DEINEKA, GB
4739 DEISS, BM
13193 DEJAGER, OC
515 DEJONGHE, H
169 DEKEL, A
15948 DEKOOL, M
8164 DELABROUILLE, J
16054 DELAHAYE, F
14796 DELAMARTER, G
1951 DELANEY, M
9507 DELAWARE, UO
13744 DELAY, RS
9734 DELCHINI, H
13167 DELEMARTER, G
10381 DELEPLANQUE, MA
7185 DELFOSSE, X
16235 DELGADO, RG
10333 DELGADO, RMG
11366 DELGATY, MSR
9537 DELIYANNIS, CP
16241 DELLANTONIO, I
4431 DELLANTONIO, IP
14387 DELLAVALLE, M
9974 DELMAS, F
14994 DELPLANCKE, F
6151 DELTORN, JM
12971 DELUCA, EE
143 DEMARQUE, P
1528 DEMARTINO, D
11068 DEMELLO, DF
15591 DEMENTEV, S
5347 DEMERS, S
12395 DEMIANSKI, M
12848 DEMIR, DA
8575 DEMLEITNER, M
14582 DEMOULIN, P
9735 DENANCE, JP
11274 DENDY, JRK
2134 DENDY, RO
12495 DENECKE, B
3324 DENEF, F
7905 DENG, L
10273 DENG, M
3763 DENG, Z
8260 DENG, ZG
4890 DENHARTOG, R
2811 DENISSENKOV, PA
1404 DENMARK, PPTACC
14138 DENMAT, GL
3217 DENNEFELD, M
4541 DENNERL, K
6922 DENNETTTHORPE, J
14834 DENNISON, B
11003 DENT, WRF
10511 DEPAOLA, GO
13929 DEPAOLIS, F
2119 DEPOY, DL
5624 DEPT, TIP
7866 DERCOLE, A
13637 DERE, KP
1046 DERMER, CD
11205 DERMOTT, S
14279 DERMOTT, SF
12803 DERUE, F
7273 DERUELLE, N
15930 DERUJULA, A
8891 DE, S
1144 DESAI, J
11298 DESAI, K
16336 DESCH, M
5112 DESCH, SJ
9736 DESCOTES, G
11159 DESERT, F
3641 DESERT, FX
2888 DESHPANDE, AA
4976 DESPRINGRE, V
15709 DESSART, L
13155 DESSEL, ELV
8517 DESTRI, C
14908 DETAL, A
10802 DETTBARN, C
4012 DETTMAR, R
4458 DETTMAR, RJ
11792 DEUFEL, B
9361 DEUL, E
3239 DEUSTUA, S
4402 DEUTSCH, EW
1846 DEUTSCH, LK
5386 DEVEREUX, N
6655 DEVINE, D
12454 DEVITO, B
10181 DEVLEN, A
4407 DEVLIN, M
2726 DEVLIN, MJ
10764 DEVORE, CR
12601 DEVOST, D
12498 DEVRIENDT, J
9775 DEVRIENDT, JEG
13440 DEWANGAN, GC
11196 DEWARF, LE
12014 DEWDNEY, PE
3215 DEWEY, SRA
2750 DEY, A
11423 DEY, J
11422 DEY, M
9804 DEY, P
6521 DEZALAY, JP
10121 DEZEEUW, PT
582 DEZOTTI, G
10751 D, F
9630 DGANI, R
762 D, GF
10710 D, GM
13567 DHAR, VK
8319 DHAWAN, V
15532 DHENDECOURT, L
1566 DHILLON, VS
16201 DHURANDHAR, S
5836 DHURANDHAR, SV
3196 DIAFERIO, A
11660 DIAMANTINI, MC
7541 DIAMOND, P
5432 DIAMOND, PH
3562 DIAMOND, PJ
16500 DIAS, WS
12754 DIAZ, A
971 DIAZ, AI
14643 DIAZ, FJ
14974 DIAZ, R
12776 DIB, C
12402 DICKEL, J
13277 DICKEL, JR
9222 DICKENS, RJ
13287 DICKER, S
13915 DICKER, SR
4205 DICKEY, J
6278 DICKEY, JM
2313 DICKINSON, ISM
9850 DICKINSON, JE
903 DICKINSON, M
4364 DICKINSON, ME
9381 DICKINSON, MR
10284 DICKOW, R
4770 DICK, R
9084 DICKSON, ES
10775 DICKSON, R
12265 DICOCCO, G
6081 DICUS, DA
13213 DI, D
11320 DIEBALL, A
16099 DIECKMANN, ME
12484 DIEGO, JM
3611 DIEHL, R
11379 DIENES, KR
13498 DIEPERINK, A
16053 DIEPERINK, AEL
7958 DIERCKS, A
8340 DIETERS, S
11352 DIETERS, SW
2715 DIETRICH, M
4112 DIFRANCESCO, J
15321 DIGEL, S
5412 DIGEL, SW
7326 DIGREGORIO, DE
3709 DIJK, RV
15856 DIJKSTRA, R
6331 DILAO, R
8153 DIMEO, T
10126 DIMITRIJEVIC, MS
10245 DIMITROPOULOS, A
1610 DIMOPOULOS, K
4373 DIMOPOULOS, S
871 DINE, M
4954 DINERSTEIN, H
14807 DINESCU, DI
8107 DING, LK
6793 DINGUS, B
13745 DINGUS, BL
8852 DINSHAW, N
15154 DIOLAITI, E
9382 DIPPER, NA
10269 DIRSCH, B
2599 DISHOECK, EFV
4101 DISNEY, MJ
1542 DISTEFANO, R
4642 DIWAN, MV
12581 DIXON, D
5879 DIXON, DD
11462 DIXON, WV
3137 DIXON, WVD
8351 DIXSON, JS
6522 DJANNATIATAI, A
9287 DJILKIBAEV, ZAM
239 DJORGOVSKI, ACESG
14618 DJORGOVSKI, G
6879 DJORGOVSKI, S
1475 DJORGOVSKI, SG
12590 D, K
10974 D, L
6632 D, M
14434 DMELLOW, K
6356 DMITRUK, P
1200 D, NI
4771 DOBACZEWSKI, J
6625 DOBADO, A
4987 DOBBIE, PD
15185 DOBCSANYI, P
12661 DOBEREINER, S
16371 DOBLER, W
13989 DOBROVOLSKY, SI
8915 DOBRZYCKA, D
7710 DOBRZYCKI, A
735 DODD, RJ
3361 DODDS, SJ
1159 DODELSON, S
16282 DODONOV, SN
224 DODORICO, S
1320 DODORICO, V
10944 DODSON, R
14360 DODSWORTH, G
4512 DOEBEREINER, S
14438 DOELEMAN, S
3023 DOERRER, T
14161 DOGIEL, V
10718 DOHLEN, K
10191 DOHMPALMER, RC
6394 DOI, M
2270 DOI, Y
1781 DOKKUM, PGV
3356 DOKKUM, PV
15452 DOKUCHAEV, V
9402 DOKUCHAEV, VI
14762 DOLABDJIAN, C
6248 DOLAG, K
8804 DOLAN, JF
11158 DOLE, H
8365 DOLEZ, N
1102 DOLGOV, A
1413 DOLGOV, AD
9928 DOLIVO, JC
10009 DOLK, L
13177 DOLPHIN, AE
4456 DOMGORGEN, H
9953 DOMINGO, A
13696 DOMINGUE, DL
4371 DOMINGUEZ, A
4755 DOMINGUEZCASCANTE, R
6116 DOMINGUEZ, I
14792 DOMINGUEZ, R
4872 DOMINGUEZTENREIRO, R
13061 DOMINICI, TP
14635 DOMINIK, C
5472 DOMINIK, M
10163 DOMINIS, D
9288 DOMOGATSKY, GV
6083 DOMOKOS, G
13964 DONAGHY, TQ
6732 DONAHUE, M
6867 DONAS, J
10021 DONATI, JF
5428 DONATO, F
14607 DONEA, AC
2386 DONE, C
16111 DONGHIA, E
8733 DONNELLY, RH
6005 DONOFRIO, M
16419 DONZELLI, CJ
3251 DOPITA, M
7626 DOPITA, MA
16499 DOPPMANN, G
7091 DORAN, C
7135 DORAN, CJL
13746 DORFAN, DE
2517 DORMAN, B
1471 DORMAN, LMLV
8761 DORODNITSYN, AV
10128 DOROKHOVA, TN
10005 DOROKHOV, NI
9289 DOROSHENKO, AA
8979 DOROSHENKO, O
1255 DOROSHKEVICH, A
1347 DOROSHKEVICH, AG
1438 DOROSHKEVICH, OBA
11628 DORRINGTON, MC
13310 DORSCHNER, JM
13297 DORWART, WB
13903 DOSS, DR
4065 DOTANI, T
5102 DOTTORI, H
7140 DOTY, SD
10411 DOUBLIER, V
10921 DOUCHIN, F
8775 DOUGHERTY, B
15955 DOUGHERTY, S
10811 DOUGHERTY, SM
9588 DOUGLAS, NG
4426 DOUGLASS, GG
12695 DOUR, ABML
14170 DOUR, JGBML
11546 DOUR, MDML
9809 DOUR, ML
9810 DOUSPIS, M
14938 DOUVION, T
7391 DOVA, MT
6069 DOVCIAK, M
4973 DOVE, J
6390 DOVE, JB
11229 DOWELL, CD
3385 DOWLING, DM
2016 DOWNES, D
4433 DOWNES, RA
8162 DOWNES, TP
14072 DOYLE, JM
10557 DOYLE, LR
15687 DOYLE, MF
7776 DOYON, R
15706 D, P
240 D, R
880 DRAGO, A
1935 DRAGOVAN, M
10382 DRAGOWSKY, MR
9001 DRAIN, D
12319 DRAINE, ALB
1939 DRAINE, BT
11502 DRAKE, A
10715 DRAKE, AJ
13313 DRAKE, J
9021 DRAKE, N
5972 DRAKE, NA
9989 DRAKE, SA
16545 DRAMLITSCH, T
11961 DRAPATZ, S
13934 DRAVINS, D
16550 DREES, M
11732 DREIZLER, S
13258 DRELL, PS
13285 DRENKHAHN, G
8429 DRESSEL, LL
484 DRESSLER, A
3373 DREUX, M
10779 DREW, J
7779 DREW, JE
11173 DRIEBE, T
6603 DRIELGESZTELYI, LV
5581 DRIEL, WV
9331 DRILLING, JS
15481 DRIMMEL, R
3416 DRINKWATER, M
4591 DRINKWATER, MJ
8382 DRISSEN, L
2625 DRIVER, SP
14797 DROEGE, TF
3557 DROGE, W
1005 DROM, EV
11363 DRORY, N
15110 DROSSART, P
6195 DROZDOVA, DN
12994 DROZ, S
2841 DRUKIER, GA
11433 DRURY, J
11902 DRURY, L
2331 DRURY, LO
2435 D, S
11774 DUARI, D
10056 DUBA, C
4923 DUBATH, P
16085 DUBAU, DPJ
9061 DUBAU, J
3630 DUBIN, M
78 DUBINSKI, J
427 DUBINSKI, KKJ
3684 DUBNER, G
15985 DUBOIS, P
9425 DUBOVSKY, SL
14006 DUBUC, A
7864 DUBUS, G
11946 DUCCI, V
11635 DUCHENE, G
4628 DUCK, SR
8438 DUC, P
5371 DUC, PA
11380 DUDAS, E
6512 DUDLEY, CC
6345 DUDZIAK, G
11898 DUEMMLER, R
8023 DUERBECK, HW
13226 DUEZ, MD
8737 DUFF, MJ
85 DUFFY, P
4222 DUFOUR, RJ
9570 DULLEMOND, CP
15653 DULLEMOND, RTCP
15055 DULLIGHAN, A
8526 DULTZINHACYAN, D
13481 DUMITRU, A
13172 DUMKE, M
10875 DUMOIT, J
11553 DUMONT, A
10894 DUMONT, AM
6523 DUMORA, D
9002 DUMOULIN, L
11912 DUMSE, RM
9533 DUNCAN, DK
3970 DUNCAN, GC
12273 DUNCAN, M
2185 DUNCAN, MJ
15526 DUNCAN, R
2399 DUNCAN, RC
11217 DUNCAN, RS
11191 DUNCAN, WD
10495 DUNCOMBE, RL
10561 DUNHAM, EW
13555 DUNLEA, S
5816 DUNLOP, J
5561 DUNLOP, JS
15284 DUNNE, BC
10789 DUNNE, L
15977 DUNN, JO
1944 DUNN, MCAM
13209 DUNSBY, P
9119 DUNSBY, PK
7272 DUNSBY, PKS
4679 DUPIN, JP
10423 DUPIN, O
14081 DUPKE, RA
9724 DUPRAZ, C
7039 DUPREE, AK
8084 DUPREE, DBYNAK
5133 DUPUIS, J
12009 DURAND, D
10370 DURAND, N
2705 DURAND, S
15095 DURDA, DD
10340 DURIC, N
5365 DUROUCHOUX, P
16591 DURRANCE, ST
4646 DURRELL, PR
1709 DURRER, R
2052 DURRET, F
1579 DURSI, LJ
5710 DUSCHL, WJ
15469 DUTRA, CM
11515 DUTRA, M
15876 DUTTA, B
7348 DUTTA, S
1119 DUTTA, SN
13157 DUVAL, D
8640 DUVA, LJ
8753 DUVERNOIS, MA
3104 DU, YL
1376 DVALI, G
13556 DVALI, M
13044 DVORAK, R
16337 DWARAKANATH, K
10112 DWARAKANATH, KS
15446 DWARKADAS, V
1011 DWEK, E
10012 DWORETSKY, MM
2677 DWYER, J
3463 DYACHKOV, A
12806 DYACHKOV, AV
5671 DYCK, HM
1739 DYER, CC
13713 DYER, KK
8952 DYE, S
6446 DYE, ST
6066 DYK, SDV
8062 DYKS, J
12072 DYK, SV
1751 DYSON, JE
2806 DYSON, RJRWJE
12004 DZHALILOV, NS
13679 DZHILKIBAEV, PBZ
2995 DZIEMBOWSKI, WA
9440 DZUBA, VA
1222 E, A
14839 E, AA
4684 EALES, S
1894 EALES, SA
1638 EARDLEY, D
992 EARN, DJD
13495 EASSON, DA
2640 EASTHER, R
8270 EASTMAN, R
5149 EASTMAN, RG
3680 EATON, N
10707 E, B
11491 EBBELS, JBJPKGSTMD
6019 EBBELS, T
11580 EBBELS, TM
3974 EBBELS, TMD
1270 EBELING, H
11417 EBERL, T
2721 EBISAWA, K
15812 EBIZUKA, N
13718 ECHEVARRIA, L
8896 ECKART, A
10212 ECK, CR
13222 ECKHARDT, B
5698 ECKMANN, J
7320 ECK, SV
11064 ECONOMOU, F
10708 E, D
2717 EDELSON, R
4151 EDELSON, RA
7833 EDELSTEIN, J
5357 EDER, J
5318 EDER, JA
7514 EDERY, A
16454 EDGAR, RJ
5169 EDGE, A
816 EDGE, AC
14976 EDMONDS, P
11717 EDMONDS, PD
4685 EDMUNDS, M
15438 EDMUNDS, MG
5643 EDSJO, J
48 EDU, RC
7174 EDVARDSSON, B
15329 EDWARDS, L
15866 EDWARDS, LWMRMKHS
4001 EDWARDS, PG
11629 EDWARDS, PJ
15068 EDWARDS, RT
10993 EDWARDS, S
602 E, ECA
12337 EENENS, PRJ
2579 E, F
4157 EFIMOV, AA
8626 EFREMOV, V
9829 EFREMOV, VV
10036 EFREMOV, Y
8898 EFREMOV, YN
4315 EFROIMSKY, M
11095 EFRON, B
2493 EFROS, VD
11521 EFSTAHIOU, A
10506 EFSTATHIOU, A
1281 EFSTATHIOU, G
4931 EFSTATHIOU, GP
12475 EFSTATHIOU, PMG
2842 EGAMI, E
11445 EGAMI, EE
3297 EGGENSCHWILER, R
2506 EGGER, R
937 EGGLETON, PP
5047 EGGUM, G
1419 EGOROV, AM
12898 EGOROVA, VP
4852 EGRET, D
8287 EHLE, M
8653 EHLEROVA, S
2321 EHLERS, J
14628 EHRENFREUND, P
10829 EHRLICH, R
13410 EICHELBERGER, AC
15994 EICHHORN, G
1861 EICHLER, D
10620 EICHLER, SLPD
6751 EID, ME
12069 EID, MFE
15820 EIKENBERRY, S
4279 EIKENBERRY, SS
7429 EILEK, JA
664 EINASTO, J
665 EINASTO, M
6304 EINSEL, C
7635 EISENHARDT, P
2373 EISENHARDT, PR
902 EISENHARDT, PRM
7711 EISENHAUER, F
1509 EISENSTEIN, DJ
8024 EISENSTEIN, WHDJ
12008 EISLOFFEL, J
1884 E, J
1815 EJTEHADI, MR
9313 EKELIN, S
14897 EKERS, J
11297 EKERS, R
6280 EKERS, RD
14291 EKE, V
2951 EKE, VR
11877 EKHOLM, T
608 E, L
2739 ELAD, H
1291 ELBAZ, D
10324 ELBERT, JW
7431 ELDAR, A
508 ELECT, OY
13550 ELEUTERI, A
11121 ELGAROY, O
7811 ELIAS, JH
466 ELITZUR, M
6398 ELIZALDE, E
12353 ELIZALDE, F
11070 ELIZONDO, D
10154 ELKIN, VG
2146 ELLINGSEN, SP
1450 ELLINGSON, E
16189 ELLINGSON, SW
8615 ELLIOT, JL
10057 ELLIOTT, S
14480 ELLIOTT, SR
2413 ELLIS, G
37 ELLIS, GFR
888 ELLIS, J
13441 ELLIS, JPKRS
4786 ELLISON, D
1511 ELLISON, DC
4594 ELLISON, SL
3540 ELLIS, PJ
798 ELLIS, R
722 ELLIS, RS
8754 ELLITHORPE, D
4035 ELLMAN, N
13993 ELLMANN, N
11368 ELLMAN, R
13747 ELLSWORTH, RW
14680 ELLWANGER, U
10037 ELMEGREEN, B
8730 ELMEGREEN, BG
10629 ELMEGREEN, DM
3959 ELMFORS, P
2418 ELSAESSER, H
6578 ELSASSER, H
16390 ELSNER, RF
7351 ELSON, R
1560 ELSON, RAW
2469 ELST, HV
2178 ELSTON, R
5684 ELSWORTH, Y
13431 ELVIDGE, CD
1053 ELVIS, M
12458 ELVIS, MS
13148 ELWELL, B
2945 ELZANT, A
2897 ELZANT, AA
14956 ELZE, H
11386 ELZE, HT
624 E, M
14725 EMANUELE, A
2774 EMANUELSEN, PI
11466 EMELYANOV, A
10206 EMERSON, JP
14007 EMMET, W
8265 EMONET, T
11645 EMPARAN, R
3123 EMSELLEM, E
12459 EMSLIE, AG
15109 ENCRENAZ, T
12662 ENDL, M
10605 ENDT, PM
16324 ENEES, GG
11174 ENGEL, A
8862 ENGELBRACHT, CW
13227 ENGELHARD, ET
1107 ENGEL, J
2606 ENGELMANN, F
11065 ENGEL, R
5176 ENGELS, ADD
8916 ENGELS, D
6253 ENGINEER, S
11854 ENGLAND, BCIOD
8627 ENGLHAUSER, J
16264 ENGLISH, CGPSJ
11836 ENGLISH, J
5126 ENGLMAIER, P
15322 ENGOVATOV, D
13204 ENOKI, M
779 ENOMOTO, R
16704 ENOS, AT
2477 ENQVIST, K
4742 ENSSLIN, TA
12719 ENSTA, JP
8505 ENSTROM, D
9902 EN, TK
6607 EPCHTEIN, N
7392 EPELE, LN
1017 EPLEE, RE
12145 E, PM
16028 EPPLEY, JM
8856 EPPS, H
2909 EPSTEIN, R
996 EPSTEIN, RI
7730 E, PV
7945 E, R
5865 ERACLEOUS, M
14734 ERACLEOUS, MC
13719 ERASTOVA, HMTLK
8879 ERASTOVA, LK
8331 ERASTOVA, VHCLK
7862 ERBACCI, G
13930 ERBEN, LKT
9362 ERBEN, T
707 ERCAN, N
5474 ERGMA, E
7882 ERGMA, FVE
8193 ERICKSON, E
16338 ERICKSON, W
7158 ERICKSON, WC
6167 ERIGUCHI, Y
12226 ERIKSEN, K
16455 ERIKSEN, KA
11820 ERIKSSON, K
16219 ERLICH, J
16666 ERLYKIN, AD
3119 ERNA, M
9403 EROSHENKO, YN
8890 E, RS
10028 ERSPAMER, D
10106 ERTAN, U
14052 E, RV
11831 ERWIN, P
5397 ESCALERA, E
11113 ESCHRICH, N
9582 ESCHSTRUTH, P
7718 ESCOBAR, CO
1386 ESCRIBANO, R
706 ESENDEMIR, A
7075 ESIN, A
1543 ESIN, AA
462 E, SJ
3425 ESKRIDGE, PB
4347 ESPEY, B
3383 ESPEY, BR
6524 ESPIGAT, P
16448 ESPINOSA, AMPGJMR
8134 ESPINOSA, JMR
9926 ESPINOSA, JR
3299 ESPOSITOFARESE, G
10401 ESPOSITO, JA
2652 ESPOSITO, S
7416 ESSEX, C
6630 ESSLINGER, O
8219 ESTRADA, J
1890 ETANGS, ALD
7277 ETCHEGOYEN, A
898 ETTORI, S
12263 ETTORI, SAS
1699 EUBANKS, TM
15692 EUCHNER, F
15964 E, V
14204 EVANS, A
6730 EVANS, AS
2162 EVANS, CR
13748 EVANS, D
12152 EVANS, EJKNW
15939 EVANS, N
6496 EVANS, NJ
2293 EVANS, NW
5144 EVANS, R
7803 EVANS, RW
13026 EVANS, TL
4115 EVANS, W
5240 EVE, MS
7319 EVERETT, A
12341 EVERSBERG, T
6 EVRARD, AE
1681 EVRARD, G
10981 EYER, L
8407 EYSSERIC, J
5546 EZAWA, H
11577 F, A
4515 FABBIANO, G
13608 FABBIANO, P
2035 FABBRI, R
8674 FABBRO, S
15579 FABER, JA
6337 FABER, M
3652 FABER, S
171 FABER, SM
11329 FABIAN, A
334 FABIAN, AC
13365 FABIAN, D
6525 FABRE, B
6738 FABREGAT, J
3745 FABRICANT, D
15153 FABRICANT, DG
11011 FABRIKA, SN
14544 FABRIZIO, LD
1702 FADDA, D
9190 FADEYEV, YA
15517 FADY, E
7590 FAESSLER, A
10247 FAFONE, V
3076 FAGOTTO, F
5576 FAGUNDES, HV
1667 FAHLMAN, G
442 FAHLMAN, GG
3901 FAIRALL, AP
14836 FAIRBAIRN, M
179 FAIRBRIDGE, RW
13424 FAIRLEY, B
16442 FAIRLEY, BW
6183 FAISSE, S
121 FAIZULLIN, R
1806 FAKIR, R
16614 FALCHI, A
11762 FALCHI, F
16615 FALCIANI, R
1618 FALCKE, H
13069 FALCKE, MGH
9593 FALCO, E
2218 FALCO, EE
13749 FALCONE, A
15673 FALFERI, P
9846 FALGARONE, E
4378 FALK, T
10383 FALLON, P
3432 FALL, SM
6937 FALOMO, R
10654 FANCHIOTTI, H
14656 FANELLI, D
8291 FANELLI, M
10045 FANELLI, MA
5247 FANELLI, MN
9541 FANG, F
60 FANG, L
8015 FANG, LZ
9986 FANG, T
2398 FANG, Y
11126 FAN, JH
8692 FANSELOW, JL
9609 FANTI, C
10603 FANTINI, M
8588 FANTI, R
3401 FAN, X
3410 FAN, Y
1132 FAN, Z
8970 FARACH, H
7327 FARACH, HA
14265 FARAFONOV, VG
3529 FARAGGI, AE
9972 FARAGGIANA, R
14078 FARAKOS, K
13886 FARANDA, C
25 FARAONI, V
4756 FARAUDO, J
9314 FARDAL, MA
15210 FARESE, P
15221 FARESE, PC
3506 FARGION, D
3048 FARHAT, B
6566 FARIDANI, J
558 FARRAR, G
1069 FARRAR, GR
16339 FARRELL, W
16064 FARUSI, A
7503 FASANO, G
14231 FASSETT, CI
9898 FASSIA, A
7986 FASSNACHT, C
3669 FASSNACHT, CD
16667 FATEMI, SJ
15770 FATKHULLIN, TA
1915 FATUZZO, M
7026 FAVATA, F
10430 FAZIO, G
4280 FAZIO, GG
618 F, C
12359 F, CRBS
14029 F, D
6927 FEAST, M
6727 FEAST, MW
4359 FEDERICI, L
3406 FEDERSPIEL, M
16519 FEDOROVA, AV
3166 FEGAN, DJ
12553 FEGAN, S
13557 FEGAN, SJ
14216 FEGGANS, K
16451 FEGLEY, B
4245 FEIGELSON, ED
884 FEINBERG, J
6941 FEINSTEIN, A
13524 FEINSTEIN, C
13958 FEJES, I
12193 FELDER, G
4783 FELDKUN, D
1173 FELDMAN, HA
12690 FELDMAN, P
6265 FELDMAN, PA
14276 FELDMAN, PD
12502 FELDMEIER, A
5018 FELDMEIER, J
8417 FELDMEIER, JJ
7486 FELDMEIERN, J
3374 FELENBOK, P
7841 FELICE, FD
15731 FELLHAUER, M
838 FELLI, M
381 FELTEN, JE
8123 FELTZING, S
4733 FEMENIA, B
11041 FENDER, R
4673 FENDER, RP
12702 FENDT, C
7850 FENG, JL
14310 FENG, L
11446 FENG, YX
14288 FENIMORE, E
1043 FENIMORE, EE
3167 FENNELL, S
1027 FERETTI, L
10968 FERGUSON, A
3178 FERGUSON, AMN
5734 FERGUSON, D
5829 FERGUSON, DH
3139 FERGUSON, H
1583 FERGUSON, HC
13967 FERGUSON, J
4876 FERGUSON, JW
2346 FERLAND, G
2158 FERLAND, GJ
1892 FERLET, R
13641 FERNADES, AJL
16456 FERNANDES, A
14285 FERNANDES, J
1783 FERNANDES, RC
5393 FERNANDEZ, A
1445 FERNANDEZFIGUEROA, MJ
4124 FERNANDEZ, J
15090 FERNANDEZ, M
925 FERNANDEZSOTO, A
15986 FERNIQUE, P
6199 FEROCI, M
751 FERRARA, A
14466 FERRARA, EC
7484 FERRARA, SBA
10293 FERRARA, SMA
7462 FERRARA, U
6550 FERRARESE, L
6598 FERRARESE, NKL
1625 FERRARI, A
14256 FERRARI, F
908 FERRARI, M
1827 FERRARI, N
11194 FERRARIO, L
9880 FERRARI, V
8059 FERRARO, F
793 FERRARO, FR
4241 FERREIRA, J
1163 FERREIRA, P
4029 FERREIRA, PG
676 FERRELL, RC
2864 FERRERA, A
11162 FERRERASE, L
7122 FERRERAS, I
7279 FERRERO, AMJ
14008 FERRIN, I
1406 FERRINI, F
3565 FERRIS, RH
10522 FERRO, AA
1787 FERRUCCI, V
16366 FERRUIT, P
10595 FERSTL, A
6086 FERUGLIO, F
4654 FESEN, RA
10736 FESTA, R
2775 FESTIN, L
3619 FETTER, JM
12966 FEUCHTGRUBER, H
15805 FEUCHTINGER, JRBM
14804 FEULNER, G
1514 FEVRE, L
